ID,Title,Severity,Category,Status,Files,Lines,Description,Impact,Mitigation,Blocker,Reproducible
CRIT-001,Formula Coverage Limitation (189/197 Fractals),CRITICAL,Functional Limitation,Documented,"escape_time_catalog.dart, auto_explore_service.dart, generate_catalog_thumbnails_test.dart",Multiple (197 entries),Only 8/197 formulas in CPU renderer; 189 use Mandelbrot fallback,"Thumbnails approximate, autopilot suboptimal for 189 fractals","UI badges set expectations, GPU renders correctly",No,Always
CRIT-002,Emulator GPU Thumbnail Generation Blocked,CRITICAL,Hardware Limitation,Blocked,"generate_gpu_thumbnails_test.dart, thumbnail_integrity_report.md",N/A,SwiftShader produces 99.8% black pixels; no viable GPU output on emulator,Cannot use GPU workaround; requires real device,"Document limitation, plan Phase 2 for device",Yes (blocks GPU workaround),Always on emulator
HIGH-001,ProviderNotFoundException Risk - FractalController Navigation,HIGH,Runtime Risk,Potential,fractal_viewer_screen.dart,892-893,FractalController provider may not be wrapped around viewer route,Potential ProviderNotFoundException on navigation,"Tests passing, but not all paths covered",No (not currently manifesting),Unknown (edge case)
HIGH-002,Dart Type Promotion Failure on Object Fields,HIGH,Type Safety,Known,fractal_controls.dart,Various,Object fields don't type-promote in if/ternary; requires local variable workaround,Type errors at compile time without workaround,Workaround documented and applied,No,When using Object fields
HIGH-003,Deprecated API: decodeImageFromPixels,HIGH,Future Deprecation,Suppressed,cpu_fractal_renderer.dart,238,Using deprecated ui.decodeImageFromPixels() with no replacement available,App will break when API is removed (Flutter 4.x?),"Suppress warning, monitor for replacement API",No (but future liability),On Flutter upgrade
HIGH-004,Unused Private Methods (Dead Code),HIGH,Technical Debt,Code Debt,fractal_viewer_screen.dart,"890, 961, 984, 1026",_openHistory and 3 other methods implemented but never called,"Code clutter, maintenance burden, unclear feature status","Suppress warning, but needs cleanup",No,Code review
MED-001,AR Tab Feature Incomplete,MEDIUM,Incomplete Feature,Planned,"home_ar_tab_opens_test.dart, home_screen.dart",60-61,AR functionality exists but not wired into home navigation,"AR discovery poor, longer user path to reach feature",Plan to add AR tab to home screen,No,Home screen inspection
MED-002,GPU Integration Test Unused Variables,MEDIUM,Test Quality,Code Debt,generate_gpu_thumbnails_test.dart,"27, 34, 35, 36","Services created but not used: presetStore, arQualityStore, accessibilityService","Test setup unclear, possible incomplete test coverage",Review test purpose and either use or remove,No,Code review
MED-003,Linting: 429 prefer_const_constructors Issues,MEDIUM,Code Quality,Style,"escape_time_catalog.dart (majority), test files","Multiple (35, 41, 47, ...)",Missing 'const' on constructors for optimization,"Memory waste with repeated allocations, slower performance",Add const to constructors across codebase,No,flutter analyze
LOW-001,L10n Auto-Generated Suppressions,LOW,Expected,Auto-Generated,app_localizations*.dart,"1, 5, 11",Generated localization files have expected analyzer suppressions,None (auto-generated code),No action needed,No,N/A
LOW-002,Unnecessary const Keyword,LOW,Style,Minor,generate_gpu_thumbnails_test.dart,73,Redundant const keyword in expression,None (style only),Remove for cleaner code,No,Code review
LOW-003,Build Artifact Cleanup,LOW,Housekeeping,Info,build/app/outputs/flutter-apk/app-release.apk,N/A,Release APK (28.2 MB) in build directory should be archived/uploaded,Disk space only,Upload to Play Store or remove from repo,No,Directory inspection
