rank,canonical_name,category,formula_or_rule,parameter_defaults,expected_visual_signature,shader_feasibility,cpu_fallback_feasibility,primary_citations,distinct_from_existing
5,Elementary linear cellular automata: Rule 90 / Rule 150,Cellular automata / fractal patterns,1D binary CA. Rule 90: s_i(t+1)=s_{i-1}(t) XOR s_{i+1}(t). Rule 150: s_i(t+1)=s_{i-1}(t) XOR s_i(t) XOR s_{i+1}(t). Render time downward from a single seed or random seed.,rule=90; width=512; generations=512; seed=single_center; colorScheme=0,"Sierpinski-triangle/XOR lace, nested triangular voids, crisp self-similar scanlines.",easy,easy,"Self-similarity of linear cellular automata, DOI 10.1016/0022-0000(92)90007-6; Statistical mechanics of cellular automata, DOI 10.1103/revmodphys.55.601",Catalog has Wolfram Rule 30 and Wireworld; no deterministic linear Rule 90/150 XOR fractal entry found.
5,Klausmeier banded vegetation model,Reaction-diffusion / advective ecological patterns,Two-field water/biomass PDE: plant u_t = u^2 w - B u + diffusion; water w_t = A - w - u^2 w + downhill advection + D_w diffusion. Use explicit finite-difference texture ping-pong.,A=2.0; B=0.45; waterDiffusion=10; plantDiffusion=1; advection=0.2; dt=0.02; stepsPerFrame=4,"Banded tiger-bush stripes, arcs, gaps, and desert-to-pattern transitions.",medium,medium,"Pattern solutions of the Klausmeier Model for banded vegetation in semi-arid environments I, DOI 10.1088/0951-7715/23/10/016; Regular and Irregular Patterns in Semiarid Vegetation, DOI 10.1126/science.284.5421.1826","Catalog has Gray-Scott/Brusselator/Schnakenberg-style chemistry, not advective dryland vegetation bands."
5,Lattès rational map Julia set,Complex dynamics / rational maps,"Iterate a Lattès-family rational map, e.g. R(z)=((z^2+1)^2)/(4*z*(z^2-1)) with pole guards; color by escape/pole approach, derivative growth, or Fatou/Julia boundary distance.",iterations=180; bailout=64; poleEpsilon=1e-5; mapVariant=classic; colorBy=derivativeGrowth,Highly symmetric rational Julia web on the Riemann sphere with dense preimage structure and pole-centered filaments.,medium,easy,"Lattès maps and the interior of the bifurcation locus, DOI 10.3934/jmd.2019014; Frontiers in complex dynamics, DOI 10.1090/s0273-0979-1994-00519-1",Catalog has polynomial/rational_map basics and Weierstrass p; no named Lattès rational-map module found.
4,Cyclic cellular automaton spiral waves,Cellular automata / excitable media,n-state cyclic CA: state s advances to (s+1) mod n if at least threshold neighbors are already in next state; otherwise unchanged. Moore or hex neighborhoods.,states=8; threshold=1; neighborhood=Moore; seed=random; stepsPerFrame=1,"Color-cycling spiral waves, targets, rotating arms, excitable-media turbulence.",easy,easy,"Spiral Waves in a Cyclic Cellular Automaton Model for Excitable Media, DOI 10.1142/s0217984997001572; Cyclic Cellular Automata in Two Dimensions, DOI 10.1007/978-1-4612-0451-0_8",Catalog has Wireworld/turmites/life-like entries; no cyclic excitable-media CA found.
4,Greenberg-Hastings excitable cellular automaton,Cellular automata / excitable media,Three-phase excitable CA: resting cell becomes excited if neighbor excitation count exceeds threshold; excited becomes refractory; refractory decays to resting after refractoryPeriod.,threshold=1; refractoryPeriod=8; neighborhood=Moore; seed=sparse_random; stepsPerFrame=1,"Cardiac-like wavefronts, target waves, broken spirals, refractory trails.",easy,easy,"The Time Evolution of a Greenberg–Hastings Cellular Automaton on a Finite Graph, DOI 10.25088/complexsystems.27.2.101; Excitable Greenberg-Hastings cellular automaton model on scale-free networks, DOI 10.1103/physreve.75.032901","Distinct from Wireworld because it is a generic excitable-wave CA with refractory dynamics, not circuit conduction rules."
4,Arnoux-Rauzy substitution fractal,Aperiodic substitution tilings / Rauzy fractals,"Use Arnoux-Rauzy substitutions on a 3-letter alphabet, e.g. sigma_1: 1->1,2->21,3->31 and cyclic variants; render prefix-walk projected tiles / boundary.",substitution=periodic_123; depth=12; projection=canonical_plane; colorBy=letter,Asymmetric Rauzy-like compact tiles with fractal boundaries and three-color stepped-surface domains.,medium,medium,"Connectedness of fractals associated with Arnoux-Rauzy substitutions, DOI 10.1051/ita/2014008; Self-affine tiling via substitution dynamical systems and Rauzy fractals, DOI 10.2140/pjm.2002.206.465",Catalog has Rauzy/Tribonacci-related entries; Arnoux-Rauzy substitutions are a distinct named family and should be added only with identity text to avoid aliasing.
4,Fractal dual substitution tilings,Aperiodic tilings / substitution dynamics,Start from a Pisot substitution matrix; apply dual substitution on faces/edges in projected contracting space; render inflated prototile boundaries by subdivision depth.,substitution=sample_pisot; depth=8; tileSet=dual_faces; strokeWidth=1,"Patchwork self-affine tiles with fractal edges, not simple rhombic/kite Penrose-style tiles.",medium,medium,"Fractal dual substitution tilings, DOI 10.4171/jfg/37; Unimodular Pisot substitutions and their associated tiles, DOI 10.5802/jtnb.556","Catalog includes named tilings and Rauzy, but not a general dual-substitution fractal tile renderer."
4,Parametric root-finding basin family,Root-finding basins / polynomiography,"Expose a paper-defined parameterized iterative method for f(z)=z^n-1; at each pixel iterate z_{k+1}=Phi_alpha(z_k,f,f',...) and color by converged root and iteration count.",polynomial=z^3-1; alpha=0.5; iterations=80; tolerance=1e-6; bailout=64,Newton-like basins whose lobe boundaries morph continuously as alpha changes.,medium,easy,"Parametric Family of Root-Finding Iterative Methods: Fractals of the Basins of Attraction, DOI 10.3390/fractalfract6100572; Higher-Order Root-Finding Algorithms and Their Basins of Attraction, DOI 10.1155/2020/5070363",Catalog has many named single root-finders; this adds a continuous academically cited parameter family rather than another fixed method.
3,Combined polynomial root-finding dynamics,Root-finding basins / hybrid iteration,Alternate or blend two structurally different root-finding maps Phi_A and Phi_B for a polynomial; render basins by final root and convergence speed.,methodA=Newton; methodB=Chebyshev_or_Halley; blend=0.5; polynomial=z^3-1; iterations=80,"Hybrid basin boundaries, islands, and symmetry breaks not seen in either source method alone.",medium,easy,"Fractal patterns from the dynamics of combined polynomial root finding methods, DOI 10.1007/s11071-017-3813-6","Distinct if implemented as an explicit hybrid/alternating dynamics module, not as duplicate Newton/Halley presets."
3,IFS fractal tilings explorer,IFS / fractal tilings,"Use a finite set of contraction similitudes/affine maps that form a tiling attractor; render by chaos game, deterministic subdivision, or address-space coloring.",tileFamily=sample_from_paper; depth=9; renderMode=address_color; contractionScale=paper_default,Plane-filling clusters of self-similar tiles with recursive cracks and boundaries.,medium,medium,"Fractal Tilings from Iterated Function Systems, DOI 10.1007/s00454-014-9589-2; Construction of fractal objects with iterated function systems, DOI 10.1145/325334.325245",Catalog has individual IFS fractals; this would add tiling-specific IFS address coloring and tile boundaries.
3,Self-replicating reaction-diffusion spots benchmark,Reaction-diffusion / Turing patterns,Two-species activator-inhibitor PDE tuned to self-replicating spot regime; implement as ping-pong texture update and preset distinct from Gray-Scott if kinetics differ.,model=paper_spot_kinetics; dt=0.2; diffusion_u=paper_default; diffusion_v=paper_default; feed/kill or kinetic params from cited model,"Spot splitting, spot replication cascades, moving gaps and lattices.",medium,medium,"Experimental observation of self-replicating spots in a reaction-diffusion system, DOI 10.1038/369215a0; Reaction-Diffusion Model as a Framework for Understanding Biological Pattern Formation, DOI 10.1126/science.1179047","Catalog already has Gray-Scott self-replicating spots; admit only if kinetics/source identity differ, otherwise keep as citation-backed preset/documentation."
